id,date,rxl,cid,lac,rnc
28111,1259994663736,-93,16537,27,0
28112,1259994664077,-93,16537,27,0
28113,1259994664406,-93,16537,27,0
28114,1259994664746,-93,16537,27,0
28115,1259994665077,-93,16537,27,0
28116,1259994665406,-93,16537,27,0
28117,1259994665746,-93,16537,27,0
28118,1259994666077,-93,16537,27,0
28119,1259994666416,-93,16537,27,0
28120,1259994666746,-93,16537,27,0
28121,1259994667076,-93,16537,27,0
28122,1259994667416,-93,16537,27,0
28123,1259994667746,-93,16537,27,0
28124,1259994668086,-93,16537,27,0
28125,1259994668417,-93,16537,27,0
28126,1259994668746,-93,16537,27,0
28127,1259994669086,-93,16537,27,0
28128,1259994669417,-93,16537,27,0
28129,1259994669756,-93,16537,27,0
28130,1259994670086,-93,16537,27,0
28131,1259994670426,-93,16537,27,0
28132,1259994670901,-93,16537,27,0
28133,1259994671097,-93,16537,27,0
28134,1259994671426,-93,16537,27,0
28135,1259994671766,-93,16537,27,0
28136,1259994672097,-93,16537,27,0
28137,1259994672457,-93,16537,27,0
28138,1259994672767,-93,16537,27,0
28139,1259994673096,-93,16537,27,0
28140,1259994673436,-93,16537,27,0
28141,1259994673766,-93,16537,27,0
28142,1259994674106,-93,16537,27,0
28143,1259994674436,-93,16537,27,0
28144,1259994674766,-93,16537,27,0
28145,1259994675106,-93,16537,27,0
28146,1259994675437,-93,16537,27,0
28147,1259994675776,-93,16537,27,0
28148,1259994676104,-93,16537,27,0
28149,1259994676446,-93,16537,27,0
28150,1259994676776,-93,16537,27,0
28151,1259994677106,-93,16537,27,0
28152,1259994677446,-93,16537,27,0
28153,1259994677787,-93,16537,27,0
28154,1259994678117,-93,16537,27,0
28155,1259994678446,-93,16537,27,0
28156,1259994678786,-93,16537,27,0
28157,1259994679117,-93,16537,27,0
28158,1259994679447,-93,16537,27,0
28159,1259994679786,-93,16537,27,0
28160,1259994680117,-93,16537,27,0
28161,1259994680456,-93,16537,27,0
28162,1259994680786,-93,16537,27,0
28163,1259994681126,-93,16537,27,0
28164,1259994681457,-93,16537,27,0
28165,1259994681796,-93,16537,27,0
28166,1259994682126,-93,16537,27,0
28167,1259994682457,-93,16537,27,0
28168,1259994682796,-93,16537,27,0
28169,1259994683127,-93,16537,27,0
28170,1259994683466,-93,16537,27,0
28171,1259994683796,-93,16537,27,0
28172,1259994684136,-93,16537,27,0
28173,1259994684466,-93,16537,27,0
28174,1259994684806,-93,16537,27,0
28175,1259994685136,-93,16537,27,0
28176,1259994685477,-93,16537,27,0
28177,1259994685806,-93,16537,27,0
28178,1259994686146,-93,16537,27,0
28179,1259994686476,-93,16537,27,0
28180,1259994686816,-93,16537,27,0
